wallet,lamports,sol,tx_count,first_tx,last_tx,pct_of_total
k7yUrcYSjdHFYeJAA5iDDXfx4Xycgv6oh9t2Rj1P2Z3,4716060678560,4716.060678560,2,1736916726,1737001560,11.900663
3vhfKzpuP5pCCa8Sgg8k6WMCmgRjhRRYHmYo2mXzw91B,572000000000,572.000000000,1,1730130396,1730130396,1.443404
EGwdNzBE4b35UmHfYTaZTJ2WkQLuo37uS18NUadJf3M6,500000000000,500.000000000,1,1730124478,1730124478,1.261716
HptR9xKJ8dK1tEyktNMnLZZW6wUW3HGN7FzmEUSnx5uk,500000000000,500.000000000,1,1730121916,1730121916,1.261716
J4GNaabQXR4EcaUFmkMewprdmjqTVXJprPnacpmpXgYF,500000000000,500.000000000,1,1730121481,1730121481,1.261716
FxAnqqN6gE6vMFBndqvLBe6BUXpABCWBtn2TSKX8s7HP,375000000000,375.000000000,5,1729984198,1730130848,0.946287
2ogFTf6Y5JmRM8P6KHt3ed1MdnjFw6k71vhsJ95nrTbW,300000000000,300.000000000,5,1729872010,1730054780,0.757030
4CuDQah1vSzbV8M2hbeCibTudNA2dC6BcUXj171umR6B,300000000000,300.000000000,1,1730122473,1730122473,0.757030
HoiQ8SFmUzSGEXBRH4uzeYcZ4c2PEqBasBEKGPiAaRZP,300000000000,300.000000000,2,1730118031,1730118243,0.757030
BLaxkwHNZySD25AiugvEu4T7e4LHNNCKzgj2v79YB2u,250000000000,250.000000000,1,1730125857,1730125857,0.630858
FzRZXfVvWfKebu8AsuxMXBog2YKKNr2mdmDJLLpNWrFo,250000000000,250.000000000,1,1730127558,1730127558,0.630858
HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,250000000000,250.000000000,1,1729983203,1729983203,0.630858
HpE4SJ8JyRFQoNm5d1EkycG2LmYwsaetZZUZGERr8P5k,208960381478,208.960381478,15,1729871506,1730087575,0.527298
2jJfuPMN3R3Se5c8y7BdeiQDJMKv9wms1z1wG14xJH4H,200000000000,200.000000000,1,1729892492,1729892492,0.504687
2JrTudNHthFHtgHBoJdx9xKgGRAYrir7AUw7shvdW5uR,200000000000,200.000000000,1,1729983880,1729983880,0.504687
8f4YcVJu8ZsSQgXT3N6KNXHULUYpeJXt6NaLjDQhUMGs,200000000000,200.000000000,1,1730039419,1730039419,0.504687
8hA1gdDTHkc6U8ASYfMTp7oEanFgX1NEnpL2gz9V9so1,200000000000,200.000000000,2,1729959277,1729963244,0.504687
8x4rJjyG85TRfdH9D92AStM3v6XHnzjCNE3sAfE8N5aE,200000000000,200.000000000,1,1730068529,1730068529,0.504687
9UWZFoiCHeYRLmzmDJhdMrP7wgrTw7DMSpPiT2eHgJHe,200000000000,200.000000000,1,1729912751,1729912751,0.504687
C4viGgyo3WjEG2xoKTWBxx3enVmW6zgA2BwYoBaj8u8r,200000000000,200.000000000,1,1730130883,1730130883,0.504687
H2ikJvq8or5MyjvFowD7CDY6fG3Sc2yi4mxTnfovXy3K,200000000000,200.000000000,1,1730075345,1730075345,0.504687
GSaScBcrZxcts8DN6xTwB3yz36FEyei6gDv3vFXgeivm,195000000000,195.000000000,2,1730128897,1730129723,0.492069
J7etwUvfu1FUyrM5psyMVn1tuBpAqanWP5dUsooVKrXG,186624709263,186.624709263,1,1730114801,1730114801,0.470935
AchzTA8En1YFgtEoCiWBqa8TH68mx2TpxmWqD7oN3feS,185000000000,185.000000000,1,1730121767,1730121767,0.466835
5wbevnJVqfccfnXSyDLVCGLSBaZ3kQo4xn9HrSksBg32,178322892030,178.322892030,2,1730083463,1730083552,0.449986
9G44UL6spTFRtEYRufddMKCtGysFkC8uTzj3uGKr2U2z,165000000000,165.000000000,1,1730055411,1730055411,0.416366
E7PtKKbM3eDktwHWjebcSDDVd9dnCMwivNLNKgZS3LCu,165000000000,165.000000000,1,1730121712,1730121712,0.416366
EQ6HaNcfPTEUjstcyuRs1LVc3AEUCxsesU3CEgR4KPSj,160000000000,160.000000000,3,1729887566,1730123319,0.403749
C5reZeJZWE5f8PiPnSZXzmC2JudcXp7J12XkBd3QHnGA,155000000000,155.000000000,1,1730121671,1730121671,0.391132
3cUtSJ1mUqYkj6mLwKC5CjvKFRWkQe2Vfqqe7yUtua2j,150000000000,150.000000000,1,1729918766,1729918766,0.378515
6ryJGyrRDAcWLAmASkMVUWSX7D51pw4A3wvuYYNhQ5D8,150000000000,150.000000000,1,1730128323,1730128323,0.378515
GXN19trQaK4xxoquRhRwz3MLpeZuHQbrDvWR1vLnptpj,150000000000,150.000000000,2,1729883705,1730130065,0.378515
4PRn7i6L5caJyByFdTYN9B5nigSwhDyvK83BKrgcc4Go,149449614616,149.449614616,2,1729892788,1730129337,0.377126
4Lz2mDFnjjjj9ZoLDH6Ea7huoANgdkegexg4fC3rRVQ9,140000000000,140.000000000,1,1729950481,1729950481,0.353281
EKSewJvj18zypmHC6GsEhqxBnbjbsnAQLBuDNjqSxAoB,138000000000,138.000000000,2,1730129546,1730129566,0.348234
4y4b967ZWtBACz3gf93xDXrA4KvGVjgP6kSVKUCTDYk7,135000000000,135.000000000,1,1730121619,1730121619,0.340663
H7VUkjrCzccRc7tjVBt7n7sLN8Hxmf1FPzLNnyBJBseW,132000000000,132.000000000,2,1730127632,1730129379,0.333093
78WvuvKeXj98M7XS7ioMypyR9GD4AByRKbtsHewGuNUu,130000000000,130.000000000,1,1730038937,1730038937,0.328046
EHWcf8TuPGK5SBmCeu7v88EzVR1KT1hFQciPf8JP2n9E,126000000000,126.000000000,8,1729923288,1730090214,0.317953
AqoKWw6z5uUv3xuwF18AFvJUin1kipcLHBd1HZQNJV99,125000000000,125.000000000,4,1729879962,1730126000,0.315429
HAddBSMhHfArHbxRxZh1cPpXYqziqrLxpgvW3EiEbgYF,120000000000,120.000000000,3,1729993762,1730085754,0.302812
7JQsnWbUbXMwXcxzSebXzYasveAfuH7DY8Ck1FZ3zuLv,115000000000,115.000000000,1,1730121599,1730121599,0.290195
8S2e1S1A6hx7szcy6CW62Jv1LjU7BEGdMSEwGyLZbpwz,115000000000,115.000000000,1,1730081264,1730081264,0.290195
GG811Cr2EXuJSXUBJityji5rS1jDNvMZdM2zizkbtxzU,115000000000,115.000000000,5,1730084827,1730123606,0.290195
H28rgjDmYaks3HQBYpxj5CawGpayKqP6AAVh7g3ugjBS,114310000000,114.310000000,2,1730061729,1730129944,0.288454
3btmRAAy3fMAeeR6fYBh8XM1jWraQbfLn9sVtvg3gRbW,114000000000,114.000000000,1,1730069414,1730069414,0.287671
9ZTL9sveSQ2jniZyd9nbAVksxBp2V3cEhtoeyHuCWQA6,114000000000,114.000000000,1,1730114198,1730114198,0.287671
J8vqcLttjGbSPhbNCyp3CL5k8jzXcvcW2MCXHjmMYVxi,113660000000,113.660000000,1,1730038150,1730038150,0.286813
CRt6FEZoWU8igRMmzvcYmAvtAC1Y3y2xxg6Gu7NG9auw,110000000000,110.000000000,2,1730035744,1730120684,0.277578
Hi3PKQr56rj2owXXUHALVZAWkkHUrmm19mDJZ7Usyfrd,110000000000,110.000000000,1,1729957707,1729957707,0.277578
J4JDNiKT3yu2zqDmxcLZQbxBefwd5nSP3Qhz4yEzA4uj,110000000000,110.000000000,3,1729973815,1730082108,0.277578
C45tbZRx36qbRWAQuifrocVg3XeyEALrsegqrT4wbE2f,101000000000,101.000000000,1,1730074800,1730074800,0.254867
7EUMZX5G9d4AyRY9kcMvUHDsseoU3jS8N3W3FUjkfpD,100010000000,100.010000000,4,1729900876,1730068461,0.252369
2kNeZupEKVp6Y25t3ZYSuqJ7VgpFHpvgcKySRb3StMao,100000000000,100.000000000,1,1729959903,1729959903,0.252343
2YrKxjg1WKPqd19ivu6fWkfCG7VFZPyCAGYefd9zAnC7,100000000000,100.000000000,1,1729965002,1729965002,0.252343
